id	product_type	quantity	price	upc	title	description	link	image_link	condition	weight
2807	other		1200	ALT-0155	Комод с 3-мя ящиками ""Палермо ромашки"" [M2092]	 	http://korzin.net/index.php?dispatch=products.view&product_id=2807	http://korzin.net/images/product/29/ALT_M2092_BIG.jpg	New	
2808	other		1200	ALT-0156	Комод с 3-мя ящиками ""Палермо мишки"" [M2091]	 	http://korzin.net/index.php?dispatch=products.view&product_id=2808		New	
2808	other		1200	ALT-0156	Комод с 3-мя ящиками ""Палермо мишки"" [M2091]	 	http://korzin.net/index.php?dispatch=products.view&product_id=2808	http://korzin.net/images/product/29/ALT_M2091_BIG.jpg	New	
2809	other		1200	ALT-0157	Комод с 3-мя ящиками для обуви ""Палермо"" [M2090]	 	http://korzin.net/index.php?dispatch=products.view&product_id=2809		New	
2809	other		1200	ALT-0157	Комод с 3-мя ящиками для обуви ""Палермо"" [M2090]	 	http://korzin.net/index.php?dispatch=products.view&product_id=2809	http://korzin.net/images/product/29/ALT_M2090_BIG.jpg	New	
2810	other		1200	ALT-0158	Комод с 3-мя ящиками ""Палермо-райский уголок"" [M2089]	 	http://korzin.net/index.php?dispatch=products.view&product_id=2810		New	
2810	other		1200	ALT-0158	Комод с 3-мя ящиками ""Палермо-райский уголок"" [M2089]	 	http://korzin.net/index.php?dispatch=products.view&product_id=2810	http://korzin.net/images/product/29/ALT_M2089_BIG.jpg	New	
2811	other		1900	ALT-0159	Комод с 4-мя выдвижными ящиками ""Любовь и голуби"" [M1904]	 	http://korzin.net/index.php?dispatch=products.view&product_id=2811		New	
2811	other		1900	ALT-0159	Комод с 4-мя выдвижными ящиками ""Любовь и голуби"" [M1904]	 	http://korzin.net/index.php?dispatch=products.view&product_id=2811	http://korzin.net/images/product/29/ALT_M1904_BIG.jpg	New	
2812	other		1900	ALT-0160	Комод с 4-мя выдвижными ящиками ""Азалия"" [M1903]	 	http://korzin.net/index.php?dispatch=products.view&product_id=2812		New	
