Product code;Product name;List price;Price;Sale;Product line;Quantity;Downloadable;Category;Secondary categories;Description;Features;;Meta keywords;Meta description;Search words;Page title;
RGI-0089;Термос 2,0л Geizer [93-TE-G-1-2000];1330;1330;0;Geizer;100;0;Термосы///Термосы с помпой;; ;"Производитель: E[Regent Inox, Италия]; Производители (фильтры): E[Regent Inox]; Артикул производителя: T[93-TE-G-1-2000]; Материал (фильтры): E[Сталь]; Материал: T[нержавеющая сталь]; Объем л. (фильтры): O[2]; Объем: T[2 л]; Диаметр, см: O[]; Длина, см: O[]; Ширина, см: O[]; Глубина, см: O[]; Высота, см: O[]; Вес, кг: O[]; Примечания: T[]";;;; ;Термос 2,0л Geizer; 
RGI-0090;Термос 3,0л Geizer [93-TE-G-1-3000];1500;1500;0;Geizer;100;0;Термосы///Термосы с помпой;; ;"Производитель: E[Regent Inox, Италия]; Производители (фильтры): E[Regent Inox]; Артикул производителя: T[93-TE-G-1-3000]; Материал (фильтры): E[Сталь]; Материал: T[нержавеющая сталь]; Объем л. (фильтры): O[3]; Объем: T[3 л]; Диаметр, см: O[]; Длина, см: O[]; Ширина, см: O[]; Глубина, см: O[]; Высота, см: O[]; Вес, кг: O[]; Примечания: T[]";;;; ;Термос 3,0л Geizer; 
RGI-0091;Термос 3,5л Geizer [93-TE-G-1-3500];1570;1570;0;Geizer;100;0;Термосы///Термосы с помпой;; ;"Производитель: E[Regent Inox, Италия]; Производители (фильтры): E[Regent Inox]; Артикул производителя: T[93-TE-G-1-3500]; Материал (фильтры): E[Сталь]; Материал: T[нержавеющая сталь]; Объем л. (фильтры): O[3,5]; Объем: T[3,5 л]; Диаметр, см: O[]; Длина, см: O[]; Ширина, см: O[]; Глубина, см: O[]; Высота, см: O[]; Вес, кг: O[]; Примечания: T[]";;;; ;Термос 3,5л Geizer; 
RGI-0092;Термос Soup с широким горлом, 0,5 л [93-TE-S-2-500];530;530;0;Soup;100;0;Термосы///Термосы с широким горлом;; ;"Производитель: E[Regent Inox, Италия]; Производители (фильтры): E[Regent Inox]; Артикул производителя: T[93-TE-S-2-500]; Материал (фильтры): E[Сталь]; Материал: T[нержавеющая сталь]; Объем л. (фильтры): O[0,5]; Объем: T[0,5 л]; Диаметр, см: O[]; Длина, см: O[]; Ширина, см: O[]; Глубина, см: O[]; Высота, см: O[]; Вес, кг: O[]; Примечания: T[]";;;; ;Термос Soup с широким горлом, 0,5 л; 
RGI-0093;Термос Soup с широким горлом, 0,75 л [93-TE-S-2-750];0;0;0;Soup;0;0;Термосы///Термосы с широким горлом;; ;"Производитель: E[Regent Inox, Италия]; Производители (фильтры): E[Regent Inox]; Артикул производителя: T[93-TE-S-2-750]; Материал (фильтры): E[Сталь]; Материал: T[нержавеющая сталь]; Объем л. (фильтры): O[0,75]; Объем: T[0,75 л]; Диаметр, см: O[]; Длина, см: O[]; Ширина, см: O[]; Глубина, см: O[]; Высота, см: O[]; Вес, кг: O[]; Примечания: T[]";;;; ;Термос Soup с широким горлом, 0,75 л; 
RGI-0094;Термос Soup с широким горлом, 1 л [93-TE-S-2-1000];630;630;0;Soup;100;0;Термосы///Термосы с широким горлом;; ;"Производитель: E[Regent Inox, Италия]; Производители (фильтры): E[Regent Inox]; Артикул производителя: T[93-TE-S-2-1000]; Материал (фильтры): E[Сталь]; Материал: T[нержавеющая сталь]; Объем л. (фильтры): O[1]; Объем: T[1 л]; Диаметр, см: O[]; Длина, см: O[]; Ширина, см: O[]; Глубина, см: O[]; Высота, см: O[]; Вес, кг: O[]; Примечания: T[]";;;; ;Термос Soup с широким горлом, 1 л; 
RGI-0095;Термос Soup с широким горлом, 1,2 л [93-TE-S-2-1200];680;680;0;Soup;100;0;Термосы///Термосы с широким горлом;; ;"Производитель: E[Regent Inox, Италия]; Производители (фильтры): E[Regent Inox]; Артикул производителя: T[93-TE-S-2-1200]; Материал (фильтры): E[Сталь]; Материал: T[нержавеющая сталь]; Объем л. (фильтры): O[1,2]; Объем: T[1,2 л]; Диаметр, см: O[]; Длина, см: O[]; Ширина, см: O[]; Глубина, см: O[]; Высота, см: O[]; Вес, кг: O[]; Примечания: T[]";;;; ;Термос Soup с широким горлом, 1,2 л; 
RGI-0096;Термос Soup с широким горлом, 0,38 л [93-TE-S-1-380];470;470;0;Soup;100;0;Термосы///Термосы с широким горлом;; ;"Производитель: E[Regent Inox, Италия]; Производители (фильтры): E[Regent Inox]; Артикул производителя: T[93-TE-S-1-380]; Материал (фильтры): E[Сталь]; Материал: T[нержавеющая сталь]; Объем л. (фильтры): O[0,38]; Объем: T[0,38 л]; Диаметр, см: O[]; Длина, см: O[]; Ширина, см: O[]; Глубина, см: O[]; Высота, см: O[]; Вес, кг: O[]; Примечания: T[]";;;; ;Термос Soup с широким горлом, 0,38 л; 
RGI-0097;Термос Soup с широким горлом, 0,48 л [93-TE-S-1-480];480;480;0;Soup;100;0;Термосы///Термосы с широким горлом;; ;"Производитель: E[Regent Inox, Италия]; Производители (фильтры): E[Regent Inox]; Артикул производителя: T[93-TE-S-1-480]; Материал (фильтры): E[Сталь]; Материал: T[нержавеющая сталь]; Объем л. (фильтры): O[0,48]; Объем: T[0,48 л]; Диаметр, см: O[]; Длина, см: O[]; Ширина, см: O[]; Глубина, см: O[]; Высота, см: O[]; Вес, кг: O[]; Примечания: T[]";;;; ;Термос Soup с широким горлом, 0,48 л; 
RGI-0098;Термос Soup с широким горлом, 0,58 л [93-TE-S-1-580];520;520;0;Soup;100;0;Термосы///Термосы с широким горлом;; ;"Производитель: E[Regent Inox, Италия]; Производители (фильтры): E[Regent Inox]; Артикул производителя: T[93-TE-S-1-580]; Материал (фильтры): E[Сталь]; Материал: T[нержавеющая сталь]; Объем л. (фильтры): O[0,58]; Объем: T[0,58 л]; Диаметр, см: O[]; Длина, см: O[]; Ширина, см: O[]; Глубина, см: O[]; Высота, см: O[]; Вес, кг: O[]; Примечания: T[]";;;; ;Термос Soup с широким горлом, 0,58 л; 
RGI-0099;Термос ланч-бокс Soup на 2 лотка, 1 л [93-TE-S-3-1000T];680;680;0;Soup;100;0;Термосы///Термосы с широким горлом;; ;"Производитель: E[Regent Inox, Италия]; Производители (фильтры): E[Regent Inox]; Артикул производителя: T[93-TE-S-3-1000T]; Материал (фильтры): E[Сталь]; Материал: T[нержавеющая сталь]; Объем л. (фильтры): O[1]; Объем: T[1 л]; Диаметр, см: O[]; Длина, см: O[]; Ширина, см: O[]; Глубина, см: O[]; Высота, см: O[]; Вес, кг: O[]; Примечания: T[]";;;; ;Термос ланч-бокс Soup на 2 лотка, 1 л; 
